"City","date","pm25","pm10"
"Dnipro",2021-02-17,45,42
"Dnipro",2021-02-16,42,23
"Dnipro",2021-02-15,28,21
"Dnipro",2021-02-14,25,15
"Dnipro",2021-02-13,51,12
"Dnipro",2021-02-12,83,30
"Dnipro",2021-02-11,88,46
"Dnipro",2021-02-10,56,47
"Dnipro",2021-02-09,36,29
"Dnipro",2021-02-08,28,18
"Dnipro",2021-02-07,25,13
"Dnipro",2021-02-06,38,11
"Dnipro",2021-02-05,63,15
"Dnipro",2021-02-04,61,26
"Dnipro",2021-02-03,85,28
"Dnipro",2021-02-02,76,48
"Dnipro",2021-02-01,50,39
"Dnipro",2021-01-31,74,21
"Dnipro",2021-01-30,44,36
"Dnipro",2021-01-29,40,16
"Dnipro",2021-01-28,69,18
"Dnipro",2021-01-27,43,31
"Dnipro",2021-01-26,59,20
"Dnipro",2021-01-25,40,28
"Dnipro",2021-01-24,86,16
"Dnipro",2021-01-23,102,46
"Dnipro",2021-01-22,91,59
"Dnipro",2021-01-21,97,59
"Dnipro",2021-01-20,71,66
"Dnipro",2021-01-19,57,48
"Dnipro",2021-01-18,43,35
"Dnipro",2021-01-17,56,24
"Dnipro",2021-01-16,79,30
"Dnipro",2021-01-15,91,46
"Dnipro",2021-01-14,55,51
"Dnipro",2021-01-13,48,25
"Dnipro",2021-01-12,82,22
"Dnipro",2021-01-11,103,43
"Dnipro",2021-01-10,92,56
"Dnipro",2021-01-09,52,47
"Dnipro",2021-01-08,71,22
"Dnipro",2021-01-07,72,35
"Dnipro",2021-01-06,54,39
"Dnipro",2021-01-05,62,23
"Dnipro",2021-01-04,82,27
"Dnipro",2021-01-03,78,39
"Dnipro",2021-01-02,78,39
"Dnipro",2021-01-01,77,38
"Dnipro",2020-12-31,69,42
"Dnipro",2020-12-30,73,34
"Dnipro",2020-12-29,41,38
"Dnipro",2020-12-28,72,19
"Dnipro",2020-12-27,74,33
"Dnipro",2020-12-26,59,36
"Dnipro",2020-12-25,48,29
"Dnipro",2020-12-24,64,22
"Dnipro",2020-12-23,59,37
"Dnipro",2020-12-22,44,29
"Dnipro",2020-12-21,75,19
"Dnipro",2020-12-20,86,49
"Dnipro",2020-12-19,58,53
"Dnipro",2020-12-18,83,25
"Dnipro",2020-12-17,52,44
"Dnipro",2020-12-16,101,24
"Dnipro",2020-12-15,77,63
"Dnipro",2020-12-14,65,40
"Dnipro",2020-12-13,46,33
"Dnipro",2020-12-12,37,22
"Dnipro",2020-12-11,40,18
"Dnipro",2020-12-10,44,19
"Dnipro",2020-12-09,38,21
"Dnipro",2020-12-08,39,19
"Dnipro",2020-12-07,34,21
"Dnipro",2020-12-06,47,17
"Dnipro",2020-12-05,66,23
"Dnipro",2020-12-04,70,37
"Dnipro",2020-12-03,66,41
"Dnipro",2020-12-02,78,35
"Dnipro",2020-11-29,55,21
"Dnipro",2020-11-28,52,23
"Dnipro",2020-11-27,63,20
"Dnipro",2020-11-26,87,28
"Dnipro",2020-11-19,53,31
"Dnipro",2020-11-18,37,24
"Dnipro",2020-11-17,57,15
"Dnipro",2020-11-16,89,30
"Dnipro",2020-11-15,112,49
"Dnipro",2020-11-14,80,59
"Dnipro",2020-11-13,64,40
"Dnipro",2020-11-12,27,27
"Dnipro",2020-11-11,24,13
"Dnipro",2020-11-10,55,9
"Dnipro",2020-11-09,91,25
"Dnipro",2020-11-08,41,45
"Dnipro",2020-11-07,66,14
"Dnipro",2020-11-06,71,28
"Dnipro",2020-11-05,94,30
"Dnipro",2020-11-04,59,45
"Dnipro",2020-11-03,87,23
"Dnipro",2020-11-02,90,41
"Dnipro",2020-11-01,101,48
"Dnipro",2020-10-31,66,54
"Dnipro",2020-10-30,46,37
"Dnipro",2020-10-29,54,29
"Dnipro",2020-10-28,34,26
"Dnipro",2020-10-27,47,16
"Dnipro",2020-10-26,89,19
"Dnipro",2020-10-25,97,39
"Dnipro",2020-10-24,48,45
"Dnipro",2020-10-23,51,19
"Dnipro",2020-10-22,54,20
"Dnipro",2020-10-21,47,26
"Dnipro",2020-10-20,40,21
"Dnipro",2020-10-19,40,15
"Dnipro",2020-10-18,58,15
"Dnipro",2020-10-17,41,24
"Dnipro",2020-10-16,28,16
"Dnipro",2020-10-15,46,11
"Dnipro",2020-10-14,104,30
"Dnipro",2020-10-13,106,56
"Dnipro",2020-10-10,28,120
"Dnipro",2020-10-07,16,43
"Dnipro",2020-10-06,52,13
"Dnipro",2020-10-05,49,27
"Dnipro",2020-10-04,92,36
"Dnipro",2020-10-03,67,50
"Dnipro",2020-10-02,55,51
"Dnipro",2020-10-01,84,52
"Dnipro",2020-09-25,50,53
"Dnipro",2020-09-24,60,38
"Dnipro",2020-09-23,69,31
"Dnipro",2020-09-22,50,39
"Dnipro",2020-09-21,32,29
"Dnipro",2020-09-20,25,15
"Dnipro",2020-09-19,11,14
"Dnipro",2020-09-16,16,7
"Dnipro",2020-09-15,15,12
"Dnipro",2020-09-14,50,9
"Dnipro",2020-09-13,30,27
"Dnipro",2020-09-12,30,15
"Dnipro",2020-09-11,41,15
"Dnipro",2020-09-10,22,19
"Dnipro",2020-09-09,27,12
"Dnipro",2020-09-08,31,17
"Dnipro",2020-09-07,25,23
"Dnipro",2020-09-06,23,19
"Dnipro",2020-09-05,35,16
"Dnipro",2020-09-04,56,24
"Dnipro",2020-09-03,45,49
"Dnipro",2020-09-02,43,40
"Dnipro",2020-09-01,26,25
"Dnipro",2020-08-31,24,14
"Dnipro",2020-08-30,28,11
"Dnipro",2020-08-29,34,12
"Dnipro",2020-08-28,37,14
"Dnipro",2020-08-27,26,17
"Dnipro",2020-08-26,30,12
"Dnipro",2020-08-25,33,14
"Dnipro",2020-08-24,27,13
"Dnipro",2020-08-23,54,10
"Dnipro",2020-08-22,48,17
"Dnipro",2020-08-21,35,17
"Dnipro",2020-08-20,46,17
"Dnipro",2020-08-19,52,20
"Dnipro",2020-08-18,41,25
"Dnipro",2020-08-17,33,19
"Dnipro",2020-08-16,31,14
"Dnipro",2020-08-15,13,11
"Dnipro",2020-08-14,11,6
"Dnipro",2020-08-13,35,5
"Dnipro",2020-08-12,46,12
"Dnipro",2020-08-11,32,17
"Dnipro",2020-08-10,21,14
"Dnipro",2020-08-09,35,9
"Dnipro",2020-08-08,36,13
"Dnipro",2020-08-07,40,15
"Dnipro",2020-08-06,41,17
"Dnipro",2020-08-05,39,16
"Dnipro",2020-08-04,28,18
"Dnipro",2020-08-03,13,11
"Dnipro",2020-08-02,15,5
"Dnipro",2020-08-01,53,6
"Dnipro",2020-07-31,29,20
"Dnipro",2020-07-30,24,16
"Dnipro",2020-07-29,26,11
"Dnipro",2020-07-28,34,14
"Dnipro",2020-07-27,42,16
"Dnipro",2020-07-26,32,19
"Dnipro",2020-07-25,25,15
"Dnipro",2020-07-24,22,11
"Dnipro",2020-07-23,25,12
"Dnipro",2020-07-22,27,10
"Dnipro",2020-07-21,30,11
"Dnipro",2020-07-20,43,14
"Dnipro",2020-07-19,38,20
"Dnipro",2020-07-18,36,16
"Dnipro",2020-07-17,27,15
"Dnipro",2020-07-16,17,14
"Dnipro",2020-07-15,15,8
"Dnipro",2020-07-14,29,5
"Dnipro",2020-07-13,21,12
"Dnipro",2020-07-12,24,13
"Dnipro",2020-07-11,29,11
"Dnipro",2020-07-10,10,13
"Dnipro",2020-07-09,26,6
"Dnipro",2020-07-08,40,10
"Dnipro",2020-07-07,48,28
"Dnipro",2020-07-06,41,20
"Dnipro",2020-07-01,61,7
"Dnipro",2020-06-30,38,19
"Dnipro",2020-06-29,37,12
"Dnipro",2020-06-28,41,12
"Dnipro",2020-06-27,18,14
"Dnipro",2020-06-22,32,11
"Dnipro",2020-06-21,23,17
"Dnipro",2020-06-20,18,18
"Dnipro",2020-06-17,38,17
"Dnipro",2020-06-16,36,19
"Dnipro",2020-06-15,40,15
"Dnipro",2020-06-14,55,14
"Dnipro",2020-06-13,26,24
"Dnipro",2020-06-12,18,21
"Dnipro",2020-06-11,23,16
"Dnipro",2020-06-10,20,18
"Dnipro",2020-06-09,19,14
"Dnipro",2020-06-08,19,10
"Dnipro",2020-06-07,19,7
"Dnipro",2020-06-06,19,7
"Dnipro",2020-06-05,38,8
"Dnipro",2020-06-04,35,15
"Dnipro",2020-06-03,25,15
"Dnipro",2020-06-02,45,10
"Dnipro",2020-06-01,27,16
"Dnipro",2020-05-31,26,9
"Dnipro",2020-05-30,31,8
"Dnipro",2020-05-29,51,11
"Dnipro",2020-05-28,74,19
"Dnipro",2020-05-27,25,28
"Dnipro",2020-05-26,20,8
"Dnipro",2020-05-25,35,8
"Dnipro",2020-05-24,12,13
"Dnipro",2020-05-23,21,5
"Dnipro",2020-05-22,11,9
"Dnipro",2020-05-21,46,4
"Dnipro",2020-05-20,17,16
"Dnipro",2020-05-19,32,7
"Dnipro",2020-05-18,22,10
"Dnipro",2020-05-17,15,7
"Dnipro",2020-05-16,20,6
"Dnipro",2020-05-15,22,8
"Dnipro",2020-05-14,10,12
"Dnipro",2020-05-13,22,5
"Dnipro",2020-05-12,21,11
"Dnipro",2020-05-11,27,7
"Dnipro",2020-05-10,19,11
"Dnipro",2020-05-09,39,7
"Dnipro",2020-05-08,15,13
"Dnipro",2020-05-07,32,5
"Dnipro",2020-05-06,37,9
"Dnipro",2020-05-05,39,11
"Dnipro",2020-05-04,36,12
"Dnipro",2020-05-03,28,11
"Dnipro",2020-05-02,29,10
"Dnipro",2020-05-01,18,11
"Dnipro",2020-04-30,13,8
"Dnipro",2020-04-29,40,7
"Dnipro",2020-04-28,19,21
"Dnipro",2020-04-27,22,7
"Dnipro",2020-04-26,19,9
"Dnipro",2020-04-25,22,10
"Dnipro",2020-04-24,37,12
"Dnipro",2020-04-23,24,18
"Dnipro",2020-04-22,14,10
"Dnipro",2020-04-21,95,6
"Dnipro",2020-04-20,78,49
"Dnipro",2020-04-19,102,38
"Dnipro",2020-04-18,99,55
"Dnipro",2020-04-17,31,51
"Dnipro",2020-04-16,18,16
"Dnipro",2020-04-15,23,7
"Dnipro",2020-04-14,31,13
"Dnipro",2020-04-13,11,16
"Dnipro",2020-04-12,20,5
"Dnipro",2020-04-11,74,8
"Dnipro",2020-04-10,57,36
"Dnipro",2020-04-09,30,23
"Dnipro",2020-04-08,40,15
"Dnipro",2020-04-07,31,17
"Dnipro",2020-04-06,39,13
"Dnipro",2020-04-05,55,20
"Dnipro",2020-04-04,43,23
"Dnipro",2020-04-03,54,19
"Dnipro",2020-04-02,25,24
"Dnipro",2020-04-01,35,12
"Dnipro",2020-03-31,84,15
"Dnipro",2020-03-30,40,53
"Dnipro",2020-03-29,36,35
"Dnipro",2020-03-28,35,26
"Dnipro",2020-03-27,27,28
"Dnipro",2020-03-26,24,12
"Dnipro",2020-03-25,26,12
"Dnipro",2020-03-24,19,11
"Dnipro",2020-03-23,50,8
"Dnipro",2020-03-22,81,19
"Dnipro",2020-03-21,54,42
"Dnipro",2020-03-20,99,27
"Dnipro",2020-03-19,59,54
"Dnipro",2020-03-18,39,31
"Dnipro",2020-03-17,22,19
"Dnipro",2020-03-16,9,11
"Dnipro",2020-03-15,31,4
"Dnipro",2020-03-14,32,12
"Dnipro",2020-03-13,28,13
"Dnipro",2020-03-12,63,12
"Dnipro",2020-03-11,56,32
"Dnipro",2020-03-10,58,34
"Dnipro",2020-03-09,50,26
"Dnipro",2020-03-08,79,20
"Dnipro",2020-03-07,49,38
"Dnipro",2020-03-06,38,21
"Dnipro",2020-03-05,48,17
"Dnipro",2020-03-04,74,25
"Dnipro",2020-03-03,47,37
"Dnipro",2020-03-02,67,19
"Dnipro",2020-03-01,103,30
"Dnipro",2020-02-29,50,53
"Dnipro",2020-02-28,51,22
"Dnipro",2020-02-27,24,28
"Dnipro",2020-02-26,19,14
"Dnipro",2020-02-25,56,10
"Dnipro",2020-02-11,36,9
"Dnipro",2020-02-10,48,16
"Dnipro",2020-02-09,19,27
"Dnipro",2020-02-08,33,9
"Dnipro",2020-02-07,36,18
"Dnipro",2020-02-06,37,16
"Dnipro",2020-02-05,34,15
"Dnipro",2020-02-04,36,17
"Dnipro",2020-02-03,58,14
"Dnipro",2020-01-26,67,54
"Dnipro",2020-01-25,35,35
"Dnipro",2020-01-24,33,18
"Dnipro",2020-01-23,73,14
"Dnipro",2020-01-22,66,38
"Dnipro",2020-01-21,55,33
"Dnipro",2020-01-20,68,31
"Dnipro",2020-01-19,93,42
"Dnipro",2020-01-18,89,59
"Dnipro",2020-01-17,93,52
"Dnipro",2020-01-16,85,52
"Dnipro",2020-01-15,77,43
"Dnipro",2020-01-14,65,36
"Dnipro",2020-01-13,33,29
"Dnipro",2020-01-12,99,14
"Dnipro",2020-01-11,127,54
"Dnipro",2020-01-10,87,76
"Dnipro",2020-01-09,49,49
"Dnipro",2020-01-08,28,22
"Dnipro",2020-01-07,44,11
"Dnipro",2020-01-06,109,22
"Dnipro",2020-01-05,68,66
"Dnipro",2020-01-04,71,34
"Dnipro",2020-01-03,32,38
"Dnipro",2020-01-02,42,15
"Dnipro",2019-12-29,55,28
"Dnipro",2019-12-28,80,20
"Dnipro",2019-12-27,104,42
"Dnipro",2019-12-26,66,70
"Dnipro",2019-12-25,56,29
"Dnipro",2019-12-24,64,23
"Dnipro",2019-12-23,112,29
"Dnipro",2019-12-22,107,56
"Dnipro",2019-12-21,102,62
"Dnipro",2019-12-20,89,60
"Dnipro",2019-12-19,102,44
"Dnipro",2019-12-18,90,52
"Dnipro",2019-12-17,74,45
"Dnipro",2019-12-16,78,33
"Dnipro",2019-12-15,57,40
"Dnipro",2019-12-14,63,26
"Dnipro",2019-12-13,88,27
"Dnipro",2019-12-12,105,51
"Dnipro",2019-12-11,87,65
"Dnipro",2019-12-10,77,54
"Dnipro",2019-12-09,51,42
"Dnipro",2019-12-08,47,19
"Dnipro",2019-12-07,75,20
"Dnipro",2019-12-06,54,37
"Dnipro",2019-12-05,42,23
"Dnipro",2019-12-04,42,22
"Dnipro",2019-12-03,74,18
"Dnipro",2019-12-02,27,40
"Dnipro",2019-12-01,82,11
"Dnipro",2019-11-30,109,43
"Dnipro",2019-11-29,113,59
"Dnipro",2019-11-28,71,74
"Dnipro",2019-11-27,46,41
"Dnipro",2019-11-26,45,24
"Dnipro",2019-11-25,35,23
"Dnipro",2019-11-24,22,17
"Dnipro",2019-11-23,21,11
"Dnipro",2019-11-22,31,12
"Dnipro",2019-11-21,74,13
"Dnipro",2019-11-20,106,38
"Dnipro",2019-11-19,89,63
"Dnipro",2019-11-18,113,48
"Dnipro",2019-11-17,55,59
"Dnipro",2019-11-16,27,23
"Dnipro",2019-11-13,138,49
"Dnipro",2019-11-12,118,77
"Dnipro",2019-11-11,87,63
"Dnipro",2019-11-10,112,40
"Dnipro",2019-11-09,98,58
"Dnipro",2019-11-08,84,50
"Dnipro",2019-11-07,78,42
"Dnipro",2019-11-06,58,37
"Dnipro",2019-11-05,32,26
"Dnipro",2019-11-04,47,14
"Dnipro",2019-11-03,68,18
"Dnipro",2019-11-02,65,35
"Dnipro",2019-11-01,35,34
"Dnipro",2019-10-31,43,16
"Dnipro",2019-10-30,75,20
"Dnipro",2019-10-29,124,40
"Dnipro",2019-10-28,101,64
"Dnipro",2019-10-27,99,59
"Dnipro",2019-10-26,91,53
"Dnipro",2019-10-25,146,46
"Dnipro",2019-10-24,132,111
"Dnipro",2019-10-23,137,84
"Dnipro",2019-10-22,160,107
"Dnipro",2019-10-21,138,116
"Dnipro",2019-10-20,148,65
"Dnipro",2019-10-19,101,75
"Dnipro",2019-10-18,95,50
"Dnipro",2019-10-17,125,44
"Dnipro",2019-10-16,84,61
"Dnipro",2019-10-15,75,36
"Dnipro",2019-10-14,48,30
"Dnipro",2019-10-13,45,18
"Dnipro",2019-10-12,55,19
"Dnipro",2019-10-11,26,23
"Dnipro",2019-10-10,26,11
"Dnipro",2019-10-09,29,10
"Dnipro",2019-10-08,32,10
"Dnipro",2019-10-07,18,11
"Dnipro",2019-10-06,38,5
"Dnipro",2019-10-05,93,11
"Dnipro",2019-10-04,53,38
"Dnipro",2019-10-03,36,21
"Dnipro",2019-09-29,82,51
"Dnipro",2019-09-28,43,41
"Dnipro",2019-09-27,33,23
"Dnipro",2019-09-26,51,19
"Dnipro",2019-09-25,47,27
"Dnipro",2019-09-24,31,25
"Dnipro",2019-09-23,30,14
"Dnipro",2019-09-22,24,12
"Dnipro",2019-09-21,36,9
"Dnipro",2019-09-20,27,16
"Dnipro",2019-09-19,44,12
"Dnipro",2019-09-18,54,19
"Dnipro",2019-09-17,32,27
"Dnipro",2019-09-16,41,18
"Dnipro",2019-09-15,56,20
"Dnipro",2019-09-14,53,29
"Dnipro",2019-09-13,52,26
"Dnipro",2019-09-12,39,26
"Dnipro",2019-09-11,33,19
"Dnipro",2019-09-10,42,15
"Dnipro",2019-09-09,38,20
"Dnipro",2019-09-08,44,17
"Dnipro",2019-09-07,87,19
"Dnipro",2019-09-06,63,36
"Dnipro",2019-09-05,77,22
"Dnipro",2019-09-04,59,34
"Dnipro",2019-09-03,60,26
"Dnipro",2019-09-02,65,29
"Dnipro",2019-09-01,81,33
"Dnipro",2019-08-31,29,46
"Dnipro",2019-08-30,16,16
"Dnipro",2019-08-29,30,10
"Dnipro",2019-08-28,34,14
"Dnipro",2019-08-27,31,18
"Dnipro",2019-08-26,37,14
"Dnipro",2019-08-25,49,14
"Dnipro",2019-08-24,49,19
"Dnipro",2019-08-23,40,20
"Dnipro",2019-08-22,39,17
"Dnipro",2019-08-21,47,16
"Dnipro",2019-08-20,50,18
"Dnipro",2019-08-19,34,21
"Dnipro",2019-08-18,46,11
"Dnipro",2019-08-17,45,15
"Dnipro",2019-08-16,36,16
"Dnipro",2019-08-15,33,21
"Dnipro",2019-08-14,41,14
"Dnipro",2019-08-13,39,16
"Dnipro",2019-08-12,24,15
"Dnipro",2019-08-11,43,9
"Dnipro",2019-08-10,40,18
"Dnipro",2019-08-09,24,16
"Dnipro",2019-08-08,28,9
"Dnipro",2019-08-07,38,11
"Dnipro",2019-08-06,21,17
"Dnipro",2019-08-05,55,8
"Dnipro",2019-08-04,45,19
"Dnipro",2019-08-03,27,18
"Dnipro",2019-08-02,20,11
"Dnipro",2019-08-01,59,8
"Dnipro",2019-07-31,78,24
"Dnipro",2019-07-30,85,34
"Dnipro",2019-07-29,93,38
"Dnipro",2019-07-28,58,40
"Dnipro",2019-07-27,40,22
"Dnipro",2019-07-26,38,13
"Dnipro",2019-07-25,28,13
"Dnipro",2019-07-24,52,10
"Dnipro",2019-07-23,65,17
"Dnipro",2019-07-22,50,28
"Dnipro",2019-07-21,42,20
"Dnipro",2019-07-20,34,18
"Dnipro",2019-07-19,43,16
"Dnipro",2019-07-18,60,18
"Dnipro",2019-07-17,70,23
"Dnipro",2019-07-16,53,23
"Dnipro",2019-07-15,39,21
"Dnipro",2019-07-14,27,15
"Dnipro",2019-07-13,33,12
"Dnipro",2019-07-12,37,13
"Dnipro",2019-07-11,25,17
"Dnipro",2019-07-10,33,10
"Dnipro",2019-07-09,47,15
"Dnipro",2019-07-08,31,14
"Dnipro",2019-07-07,41,14
"Dnipro",2019-07-06,32,16
"Dnipro",2019-07-05,15,15
"Dnipro",2019-07-04,35,8
"Dnipro",2019-07-03,34,13
"Dnipro",2019-07-02,30,17
"Dnipro",2019-07-01,16,14
"Dnipro",2019-06-30,9,9
"Dnipro",2019-06-29,27,5
"Dnipro",2019-06-28,39,12
"Dnipro",2019-06-27,18,23
"Dnipro",2019-06-26,39,9
"Dnipro",2019-06-25,41,14
"Dnipro",2019-06-24,53,14
"Dnipro",2019-06-23,34,29
"Dnipro",2019-06-22,32,16
"Dnipro",2019-06-21,34,14
"Dnipro",2019-06-20,37,14
"Dnipro",2019-06-19,44,15
"Dnipro",2019-06-18,36,18
"Dnipro",2019-06-17,49,12
"Dnipro",2019-06-16,43,19
"Dnipro",2019-06-15,44,19
"Dnipro",2019-06-14,39,18
"Dnipro",2019-06-13,32,18
